id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-07-05T05:40:54;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2021-07-05T09:37:46;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2021-07-04T18:41:10;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2021-07-04T14:10:47;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2021-07-05T08:48:41;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2021-07-04T17:34:53;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2021-07-04T20:05:01;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2021-07-05T10:08:25;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2021-07-05T01:29:04;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2021-07-04T14:09:14;32637;8639
